wiki_movie_id,language_name,averageRating
975900,English Language,4.9
261236,German Language,5.9
171005,English Language,7.5
77856,English Language,7.8
156558,English Language,6.4
9633533,Malayalam Language,7.9
25960460,English Language,5.6
261237,Afrikaans Language,7.3
261237,English Language,7.3
12008535,Spanish Language,6.7
4951456,English Language,5.5
12053509,English Language,6.0
29198000,Hindi Language,3.9
1369204,English Language,6.9
1369204,Spanish Language,6.9
12371532,English Language,7.0
2647998,English Language,6.1
1254263,English Language,6.3
7028314,English Language,5.6
25413122,English Language,5.8
5664529,English Language,5.6
5894429,English Language,6.5
12788657,English Language,7.1
4300418,Hindi Language,5.5
30246289,Polish Language,6.2
30246289,German Language,6.2
30246289,English Language,6.2
2154704,English Language,5.2
3740032,English Language,6.8
28937087,Hungary,6.9
28937087,English Language,6.9
28937087,Russian Language,6.9
28937087,Hungarian language,6.9
24282217,Korean Language,5.7
7767613,English Language,6.4
24863901,English Language,6.3
1630107,English Language,7.2
3550323,English Language,6.7
1072373,Tamil Language,6.7
1765938,English Language,6.3
7460227,English Language,7.2
1305819,English Language,5.6
1031231,Romani language,8.0
1031231,Italian Language,8.0
1031231,Serbo-Croatian,8.0
1031231,Bulgarian Language,8.0
1031231,Serbian language,8.0
1031231,German Language,8.0
180917,English Language,6.3
6305925,English Language,6.3
6305925,Spanish Language,6.3
196176,English Language,7.4
33872851,Greek Language,6.4
33872851,English Language,6.4
2509881,English Language,4.4
19569910,Japanese Language,7.2
26137128,English Language,4.4
16304395,English Language,6.2
748616,Korean Language,8.0
336846,English Language,7.2
27463222,English Language,4.9
3249964,English Language,7.1
27874961,French Language,6.0
3033993,English Language,7.0
12491178,English Language,4.9
5696825,English Language,6.0
103021,French Language,7.5
103021,English Language,7.5
1940449,English Language,4.1
6795107,Tamil Language,6.2
27365295,English Language,5.5
6703617,Standard Mandarin,6.5
6703617,English Language,6.5
6703617,Standard Cantonese,6.5
21737016,English Language,5.9
19389755,English Language,4.4
362719,English Language,7.4
21271533,Danish Language,6.8
16055450,Spanish Language,5.5
7696753,English Language,6.9
17379289,English Language,5.1
4459059,English Language,5.8
6471697,Hindi Language,5.2
413207,French Language,7.0
4069274,English Language,4.4
3681139,English Language,6.2
26205476,English Language,6.2
5549065,English Language,7.3
14543900,Hindi Language,5.1
171058,English Language,7.5
2608958,English Language,6.7
21618909,Hindi Language,6.7
21618909,English Language,6.7
26624119,English Language,5.3
6273971,Romanian Language,7.5
2546429,English Language,6.0
20553214,Bengali Language,4.7
31686022,English Language,5.1
24416479,English Language,4.1
14773122,English Language,6.4
12490207,Korean Language,7.0
12490207,Cantonese,7.0
6170621,Spanish Language,7.8
9105523,Japanese Language,6.6
17594419,English Language,6.8
207680,English Language,6.5
1858682,English Language,6.9
7235116,English Language,6.1
5254729,English Language,6.0
24291753,English Language,5.7
235331,Japanese Language,8.3
32494263,Bengali Language,8.3
27504492,Korean Language,6.5
1249014,Polish Language,7.4
35785312,Spanish Language,6.7
2172156,Malayalam Language,8.9
14109452,English Language,6.3
4783144,English Language,5.4
4058835,Hindi Language,7.9
2642180,Hebrew Language,6.9
12384049,English Language,5.9
6004372,English Language,6.7
4473622,English Language,7.1
10366326,English Language,5.1
2093270,English Language,6.4
22332882,English Language,7.6
11686007,English Language,5.8
9384481,English Language,5.0
8637169,English Language,5.8
7731853,Silent film,7.5
7731853,English Language,7.5
856733,English Language,7.4
856733,Spanish Language,7.4
76345,English Language,6.6
76345,American English,6.6
24021571,English Language,5.9
4926447,English Language,5.7
4926447,American English,5.7
10594195,Hindi Language,6.5
1226289,English Language,5.1
20393685,English Language,6.4
3475071,German Language,6.5
3475071,English Language,6.5
2450188,English Language,5.7
44218,English Language,7.2
1135297,English Language,6.0
906380,Standard Mandarin,7.0
7882413,French Language,7.3
33773022,French Language,5.8
33773022,Italian Language,5.8
9215946,English Language,6.5
7014201,English Language,4.6
7752732,English Language,4.3
11220896,Malayalam Language,5.5
9678161,Tamil Language,6.7
7082486,Telugu language,7.5
21209475,English Language,6.1
1307956,English Language,7.1
20694087,Tamil Language,5.6
2216254,English Language,5.7
28530363,English Language,7.3
28530363,Spanish Language,7.3
23435357,Hindi Language,3.7
30548208,English Language,6.4
27064671,Malayalam Language,3.8
4002677,English Language,6.6
1964091,French Language,6.2
1964091,German Language,6.2
1964091,English Language,6.2
26687336,Hindi Language,5.7
26687336,Punjabi language,5.7
9404578,English Language,7.7
1094668,Hindi Language,6.4
6721185,English Language,5.7
3917900,English Language,5.6
1378672,English Language,6.3
22358819,English Language,5.8
9962209,Spanish Language,7.0
1748912,English Language,7.0
706803,English Language,6.0
1851703,Japanese Language,6.7
1851703,German Language,6.7
1851703,English Language,6.7
3917873,English Language,6.9
5363369,English Language,6.4
7266768,English Language,5.2
444919,English Language,6.1
3670013,English Language,5.5
3670013,English Language,4.8
24300269,English Language,5.9
6613755,English Language,4.9
28010827,English Language,5.0
11467890,Italian Language,6.7
11467890,English Language,6.7
14710585,English Language,4.1
6973699,English Language,4.3
7281088,English Language,4.4
7281088,Spanish Language,4.4
33096336,English Language,6.4
5181423,Hindi Language,6.6
5181423,Urdu Language,6.6
7154611,English Language,6.5
24207129,English Language,7.5
24207129,Spanish Language,7.5
7280802,English Language,3.0
1533733,English Language,7.7
24051028,English Language,7.5
8763366,English Language,6.0
17711304,English Language,6.6
7876902,Telugu language,7.8
25075517,English Language,6.3
11227773,Hebrew Language,6.2
9889964,Hindi Language,5.9
28388755,English Language,6.2
5884079,English Language,5.3
5884079,Thai Language,5.3
1781048,English Language,5.6
1781048,Spanish Language,5.6
17807776,Japanese Language,7.1
817057,English Language,6.6
29004995,Hindi Language,7.2
399402,English Language,7.3
22224559,English Language,6.0
8437284,Hindi Language,3.4
8437284,English Language,3.4
4836072,English Language,7.8
2121431,English Language,6.5
5923472,Telugu language,2.4
14544711,Japanese Language,7.0
9985474,English Language,6.0
11361551,English Language,7.0
3340222,Danish Language,8.1
13457871,English Language,6.1
736262,English Language,7.0
2262277,Hindi Language,7.9
2262277,English Language,7.9
5240350,English Language,5.7
14076924,English Language,6.2
30864413,Hindi Language,4.5
24292756,English Language,5.9
17839776,Silent film,7.2
17839776,English Language,7.2
8889869,Hindi Language,6.1
8889869,English Language,6.1
21234681,German Language,5.0
12095072,English Language,6.1
249406,English Language,7.3
8743599,Hindi Language,6.4
8743599,Urdu Language,6.4
27383563,English Language,7.4
30975925,English Language,4.7
36406869,English Language,4.9
957179,English Language,6.5
9208103,English Language,4.8
3389311,English Language,6.5
5565338,English Language,4.9
168571,English Language,7.3
6244632,English Language,2.1
26013008,Malayalam Language,6.4
846329,Japanese Language,8.2
10990102,English Language,6.4
11144406,English Language,6.5
1231856,English Language,6.6
161877,English Language,7.5
24813200,English Language,4.4
36348802,Cantonese,6.3
934809,English Language,7.2
4600837,English Language,6.0
1273572,English Language,6.9
77639,English Language,7.6
77639,American English,7.6
5080311,English Language,6.4
23714330,Japanese Language,7.2
23714330,Silent film,7.2
5137345,English Language,5.4
13508675,English Language,5.8
8948959,English Language,6.7
7299774,English Language,6.0
6057698,Portuguese Language,5.8
6057698,English Language,5.8
8610844,English Language,6.3
2028217,Polish Language,6.8
2028217,English Language,6.8
1141059,English Language,5.8
5682615,English Language,4.8
16791614,English Language,7.1
21674541,French Language,5.8
21674541,English Language,5.8
9943176,English Language,7.5
3504034,English Language,5.6
17884388,Hindi Language,5.7
1157158,English Language,6.3
24665535,English Language,4.6
16647548,English Language,6.9
24064330,Standard Cantonese,5.3
34630340,French Language,6.6
3028248,English Language,6.5
3432108,English Language,5.6
4501185,English Language,4.2
9594415,English Language,6.6
13769297,English Language,6.1
5877719,English Language,4.7
3059075,English Language,6.9
142274,English Language,6.2
6887098,French Language,7.2
26149260,English Language,5.1
5049873,Greek Language,7.4
5049873,Turkish Language,7.4
5049873,Italian Language,7.4
5049873,English Language,7.4
5049873,Ancient Greek,7.4
26967810,French Language,7.2
26967810,Arabic Language,7.2
24407838,English Language,5.3
1871167,English Language,5.3
23593226,Hindi Language,6.4
23593226,Punjabi language,6.4
23593226,English Language,6.4
18487239,English Language,5.9
1217079,French Language,7.8
1217079,Khmer language,7.8
1217079,English Language,7.8
29865278,Hindi Language,6.1
10088120,English Language,6.7
1472852,English Language,6.2
31032524,English Language,6.3
27953778,Cantonese,6.6
27953778,Standard Cantonese,6.6
19127891,English Language,6.0
6846215,English Language,6.1
418154,English Language,4.0
780889,English Language,5.9
27756406,English Language,6.6
22680762,Italian Language,6.8
22680762,German Language,6.8
780888,English Language,7.1
13934307,Tagalog language,6.8
13934307,English Language,6.8
13934307,Thai Language,6.8
12180811,English Language,6.3
28903478,English Language,6.1
24708749,Hungarian language,6.1
24708749,English Language,6.1
24708749,American English,6.1
5566878,English Language,6.7
5566878,Spanish Language,6.7
33643112,Chinese language,7.7
33643112,Standard Mandarin,7.7
32635381,English Language,7.3
6768793,Tamil Language,5.6
5177364,Hindi Language,5.7
9401987,English Language,4.8
11698816,English Language,5.8
23703779,Malayalam Language,7.5
1480748,English Language,4.6
250012,English Language,7.3
2023704,English Language,6.7
9650057,Tamil Language,7.0
2723037,English Language,6.7
1480747,English Language,5.3
683122,English Language,7.3
12136473,English Language,5.3
13210849,English Language,6.3
2332364,English Language,7.4
9457642,English Language,4.7
10877732,English Language,6.9
12183290,English Language,5.6
73395,English Language,6.5
1388443,French Language,5.9
31519851,English Language,4.0
8219325,Russian Language,6.5
8219325,English Language,6.5
62688,Dutch Language,7.4
62688,English Language,7.4
24739648,English Language,7.7
3645284,French Language,7.1
3645284,Romanian Language,7.1
3645284,English Language,7.1
15115743,Polish Language,7.6
468356,English Language,7.0
468356,Standard Mandarin,7.0
570743,English Language,5.4
504242,Standard Mandarin,7.8
504242,English Language,7.8
17916020,Cantonese,7.2
129295,English Language,6.9
13289421,English Language,6.4
256337,Standard Mandarin,4.9
256337,English Language,4.9
256337,Spanish Language,4.9
11796087,Italian Language,6.6
2894499,English Language,6.9
11625324,English Language,6.6
163491,Italian Language,7.7
25008319,English Language,4.3
8987889,English Language,6.6
21132938,English Language,6.7
17058062,Persian Language,6.7
17058062,Standard Mandarin,6.7
17058062,English Language,6.7
17058062,Mandarin Chinese,6.7
3635024,Malayalam Language,8.6
10344059,Korean Language,5.6
18170706,English Language,6.9
9088886,English Language,5.2
6581470,English Language,6.6
6767900,Malayalam Language,6.5
3511253,English Language,5.4
670013,Japanese Language,7.2
10387789,English Language,6.5
5501445,English Language,5.8
1597728,Italian Language,6.2
1597728,English Language,6.2
580994,English Language,7.1
183828,English Language,7.3
20700559,American Sign Language,6.6
5329751,English Language,6.5
7644867,French Language,6.0
7644867,English Language,6.0
7641358,English Language,6.2
5283066,English Language,6.1
20629940,English Language,6.1
9906067,English Language,5.0
22637123,Swedish Language,6.8
11161265,English Language,6.4
2649865,English Language,7.1
2236141,English Language,6.8
2080306,English Language,5.6
2002258,English Language,5.8
33628294,English Language,4.0
14856464,Dutch Language,6.6
14856464,English Language,6.6
23118238,English Language,7.0
1336564,English Language,6.6
1481638,English Language,5.1
21983784,English Language,6.2
8359892,English Language,2.6
22683998,French Language,7.2
22683998,Spanish Language,7.2
1216495,English Language,7.1
16855103,French Language,6.6
16855103,English Language,6.6
5289480,English Language,6.4
2261407,Korean Language,7.9
3158499,English Language,7.0
26554437,English Language,5.9
4600218,English Language,4.3
31404359,English Language,5.1
20663735,Malayalam Language,7.6
918886,English Language,4.8
1853602,English Language,4.6
15189343,English Language,6.3
4061041,English Language,7.0
24159097,English Language,6.2
7585416,English Language,4.4
29169424,English Language,6.6
8417343,English Language,4.6
628120,Silent film,6.6
628120,English Language,6.6
8898667,English Language,6.3
12509757,English Language,6.1
12509757,Spanish Language,6.1
26456639,Cantonese,6.4
26456639,Standard Mandarin,6.4
26456639,Standard Cantonese,6.4
21008312,English Language,6.6
6987479,English Language,5.9
2292864,English Language,4.3
74871,English Language,7.9
154635,French Language,7.9
154635,Polish Language,7.9
154635,Romanian Language,7.9
9389794,Spanish Language,7.4
685987,Japanese Language,7.2
685987,English Language,7.2
685987,Spanish Language,7.2
8499528,English Language,5.7
16731651,English Language,6.4
1663320,English Language,5.4
3832242,Persian Language,7.4
15553721,English Language,5.8
74868,English Language,8.0
1853200,English Language,2.6
19163688,English Language,5.9
1111223,English Language,6.3
5718787,English Language,7.1
19972307,French Language,5.9
19972307,Polish Language,5.9
19972307,Russian Language,5.9
19972307,Swedish Language,5.9
26727790,English Language,4.3
25411775,English Language,6.5
8056688,French Language,6.8
8056688,Swedish Language,6.8
8056688,English Language,6.8
8056688,German Language,6.8
11035177,Italian Language,7.1
1702604,English Language,6.2
4605171,English Language,6.0
1134154,Japanese Language,6.6
1470810,English Language,5.4
29733028,Hindi Language,5.7
29019687,Spanish Language,6.8
6332837,English Language,7.0
10594693,French Language,5.8
10594693,English Language,5.8
22486844,English Language,6.4
3826800,Italian Language,4.8
8695,English Language,8.4
8695,Russian Language,8.4
24889160,French Language,6.8
14291637,English Language,5.7
9244646,Xhosa Language,6.8
9244646,Afrikaans Language,6.8
9244646,English Language,6.8
2349235,Hindi Language,7.7
6839059,English Language,6.5
1295686,English Language,5.3
45606,Greek Language,7.6
45606,English Language,7.6
9123604,English Language,6.6
3703077,English Language,6.9
275547,English Language,6.8
2430019,English Language,6.3
15036863,English Language,6.5
4703636,Welsh Language,5.3
4703636,English Language,5.3
28042876,English Language,6.6
16226377,English Language,6.5
25811332,English Language,6.4
1878054,Serbo-Croatian,7.3
1878054,Danish Language,7.3
6114774,English Language,7.0
31351,English Language,8.0
6823327,Urdu Language,7.0
6823327,English Language,7.0
9340076,English Language,3.8
25495137,Telugu language,7.5
7725707,English Language,7.0
1456329,English Language,6.5
27403920,English Language,6.4
1367110,English Language,6.6
163462,English Language,7.3
25359124,English Language,6.3
12138493,English Language,6.8
12585204,English Language,5.9
5493659,English Language,5.3
5493659,Spanish Language,5.3
20674415,English Language,6.2
1488066,French Language,7.5
1488066,English Language,7.5
17395300,English Language,6.8
1554502,German Language,7.4
33146132,French Language,5.8
4278437,English Language,5.1
685721,English Language,3.4
5105411,English Language,3.6
14337425,French Language,7.1
685720,English Language,6.2
7286784,Chinese language,7.8
7286784,Standard Mandarin,7.8
142443,English Language,7.6
32130401,English Language,7.0
26178713,English Language,6.6
43307,Russian Language,6.7
43307,English Language,6.7
366111,English Language,6.0
1249019,English Language,6.2
25924200,Malayalam Language,6.8
3619129,English Language,7.0
9459581,English Language,6.8
8997652,Japanese Language,5.9
8997652,English Language,5.9
25871790,English Language,5.7
6449600,English Language,7.2
24964277,English Language,6.2
5612517,Hindi Language,6.6
5612517,English Language,6.6
445066,English Language,7.6
17471669,Japanese Language,6.6
21465561,Japanese Language,7.5
4340789,English Language,6.4
4788925,Hebrew Language,5.5
4788925,English Language,5.5
7471088,English Language,6.1
26057620,English Language,6.6
31958696,German Language,4.8
31958696,English Language,4.8
36025071,Malayalam Language,7.6
46505,English Language,7.7
20760084,English Language,6.9
2411122,Hindi Language,6.0
23454959,English Language,5.7
7482708,Korean Language,4.2
20731623,English Language,7.3
3112996,English Language,6.8
27253748,Malayalam Language,4.6
23907048,Standard Mandarin,6.2
23907048,Cantonese,6.2
19233817,English Language,4.9
1717731,German Language,6.0
1717731,English Language,6.0
15877215,Hindi Language,5.1
15877215,English Language,5.1
770083,English Language,7.0
3347962,English Language,5.7
28673181,English Language,7.2
28673181,Standard Mandarin,7.2
28673181,Mandarin Chinese,7.2
2184195,Standard Mandarin,6.9
2184195,Cantonese,6.9
8850105,Standard Mandarin,5.6
8850105,English Language,5.6
2651593,Hindi Language,7.7
2651593,English Language,7.7
29397331,English Language,3.4
4907371,English Language,6.0
22291285,English Language,6.6
30854972,English Language,5.1
1282593,English Language,6.6
5409260,English Language,5.7
13312274,English Language,5.5
2782527,Hindi Language,5.8
4825726,Spanish Language,6.3
453573,English Language,6.9
12260258,English Language,8.0
11614763,English Language,6.3
13572405,English Language,4.7
36088550,German Language,7.1
36088550,English Language,7.1
1693880,English Language,5.3
9694681,English Language,6.8
1007009,English Language,4.0
32833838,English Language,4.9
2100492,English Language,6.0
24827899,English Language,6.5
6763625,Hindi Language,5.9
26200531,English Language,5.3
23734853,Italian Language,6.3
23734853,English Language,6.3
10183625,English Language,5.9
161452,English Language,7.7
19554890,English Language,5.2
113454,English Language,6.7
33444713,French Language,6.3
33444713,Romanian Language,6.3
33444713,English Language,6.3
33066426,English Language,3.3
5955514,English Language,5.4
6961461,English Language,6.7
2267722,English Language,7.2
23463534,English Language,6.3
3727473,French Language,5.8
3727473,Italian Language,5.8
3727473,English Language,5.8
680361,English Language,7.0
19787914,English Language,6.2
190405,French Language,7.0
190405,English Language,7.0
4696764,English Language,5.3
19046062,English Language,7.1
33656303,English Language,5.2
5274269,Hindi Language,7.0
359571,English Language,7.5
359571,Spanish Language,7.5
13049849,Standard Mandarin,6.9
11353416,Hindi Language,6.4
28960753,English Language,7.0
12674076,Hebrew Language,6.8
10802159,Italian Language,6.5
22144721,Russian Language,6.9
22144721,English Language,6.9
10931684,English Language,5.9
10940332,Italian Language,6.9
10940332,English Language,6.9
5118135,English Language,6.4
165106,English Language,7.2
18967674,English Language,5.7
27113000,English Language,6.2
13508300,English Language,3.5
21057974,English Language,2.2
19024526,English Language,6.5
9701398,Hebrew Language,6.8
9701398,Spanish Language,6.8
2609169,Italian Language,7.0
2609169,English Language,7.0
3710183,Afrikaans Language,7.1
3710183,Zulu Language,7.1
3710183,English Language,7.1
77643,English Language,7.5
2539874,French Language,6.7
2539874,English Language,6.7
2539874,Spanish Language,6.7
20430909,Tagalog language,6.6
20430909,English Language,6.6
3633996,French Language,6.5
142457,English Language,8.2
3966196,English Language,6.1
17611985,Turkish Language,7.3
23691080,English Language,5.7
3990322,English Language,7.5
31150255,Kannada Language,7.2
10915095,French Language,5.5
10915095,English Language,5.5
1815818,Chinese language,7.3
1815818,Standard Mandarin,7.3
17931096,English Language,6.3
431685,English Language,7.5
12085775,Vietnamese Language,7.1
12085775,Standard Cantonese,7.1
12085775,English Language,7.1
12085775,Standard Mandarin,7.1
12085775,Cantonese,7.1
186856,Italian Language,7.5
186856,Latin Language,7.5
186856,English Language,7.5
22410343,Czech Language,7.2
92582,English Language,7.6
92582,Spanish Language,7.6
24147198,English Language,6.6
12746610,English Language,6.9
5945009,Hindi Language,4.5
6097565,English Language,5.3
4515396,English Language,5.1
31839719,English Language,6.5
15463100,English Language,6.0
607444,Portuguese Language,6.3
607444,English Language,6.3
19419882,English Language,6.0
8983787,English Language,6.9
3478537,Hindi Language,7.5
3478537,Urdu Language,7.5
1380313,English Language,6.2
9009812,English Language,6.6
27850628,Hindi Language,5.3
9612342,German Language,6.0
1937840,French Language,7.3
6817168,English Language,4.6
12812600,English Language,6.8
1345561,English Language,6.7
2941852,English Language,5.5
3339200,English Language,7.5
2509859,English Language,5.5
8966185,Standard Mandarin,7.1
8966185,Cantonese,7.1
1364205,English Language,6.2
1199638,English Language,6.8
6446044,Greek Language,6.7
6446044,Italian Language,6.7
6446044,English Language,6.7
27539366,English Language,4.7
10599593,Hindi Language,6.4
17657295,English Language,6.6
5249887,Hindi Language,7.9
22523378,English Language,5.6
3924766,Japanese Language,5.8
3924766,English Language,5.8
3333,Silent film,6.2
3333,English Language,6.2
16958933,English Language,5.1
16958933,English Language,6.0
365039,German Language,5.9
365039,English Language,5.9
12913389,English Language,5.9
3662683,English Language,5.5
27974901,English Language,6.3
1353277,English Language,7.0
3260061,Telugu language,7.5
20981095,English Language,7.0
1594929,English Language,6.3
28763446,English Language,6.4
28763446,Spanish Language,6.4
24251542,English Language,6.7
32661656,Telugu language,6.5
23295531,Swedish Language,5.8
23295531,German Language,5.8
2476317,French Language,6.7
2476317,English Language,6.7
3782101,English Language,7.1
11448113,English Language,5.8
4515733,English Language,6.6
3145085,English Language,6.8
18850187,Hindi Language,6.4
18850187,Tamil Language,6.4
35940098,Malayalam Language,7.5
2188611,English Language,4.3
6789361,French Language,6.7
6789361,Wolof Language,6.7
3539982,English Language,5.1
2296056,English Language,6.3
2296056,Cantonese,6.3
14000171,Standard Cantonese,6.1
14000171,Mandarin Chinese,6.1
14000171,Standard Mandarin,6.1
14000171,English Language,6.1
14000171,Cantonese,6.1
31972917,English Language,3.6
999394,Greek Language,7.4
999394,Turkish Language,7.4
999394,Standard Mandarin,7.4
999394,English Language,7.4
4110795,French Language,6.1
4110795,English Language,6.1
31417999,English Language,5.9
4949401,English Language,6.9
24158189,English Language,6.2
9653698,Japanese Language,6.3
9653698,English Language,6.3
9653698,Spanish Language,6.3
3984733,English Language,6.5
226198,English Language,6.8
6851815,English Language,5.8
26191484,English Language,5.1
4669663,English Language,7.6
2795282,English Language,5.9
9974375,English Language,6.4
2026601,English Language,5.7
11455154,Romanian Language,7.9
34537226,English Language,5.5
7081414,English Language,6.9
944471,English Language,6.9
26457515,Spanish Language,6.4
9219835,English Language,7.0
102026,English Language,7.0
2254144,English Language,7.5
14169361,Korean Language,6.6
4213154,Chinese language,6.5
4213154,English Language,6.5
7771844,English Language,7.5
20903033,Hindi Language,6.7
3900943,Korean Language,6.6
26138411,English Language,4.7
7287758,English Language,4.5
703687,English Language,7.1
8464511,English Language,6.7
12276195,English Language,5.2
5534117,Hindi Language,7.3
14760023,Telugu language,9.0
971217,English Language,5.3
5089524,Hindi Language,7.4
25746124,English Language,6.6
19245641,French Language,7.0
19245641,English Language,7.0
13281178,English Language,6.4
9478308,English Language,6.6
13031234,English Language,6.1
19282469,English Language,7.8
10892704,Hindi Language,7.2
4023052,Hindi Language,6.8
4023052,Urdu Language,6.8
10377382,English Language,7.0
26655268,German Language,6.1
476640,English Language,5.3
24624474,English Language,6.2
26016562,English Language,1.8
2043990,English Language,5.3
545187,English Language,5.5
23140704,Malayalam Language,7.4
4783203,English Language,6.9
492540,English Language,5.1
2964227,English Language,7.8
22667247,Standard Cantonese,6.8
22667247,English Language,6.8
22667247,Standard Mandarin,6.8
22667247,Cantonese,6.8
4186478,English Language,5.0
5865108,Malayalam Language,7.2
5865108,Tamil Language,7.2
12930932,English Language,4.6
14104063,English Language,5.5
8204853,English Language,6.7
7513196,English Language,7.1
277710,Russian Language,6.2
277710,English Language,6.2
7658324,English Language,6.2
909664,English Language,6.7
33716930,English Language,6.7
15924135,English Language,6.2
4123241,English Language,5.4
682275,English Language,5.7
146947,English Language,7.4
1338432,Japanese Language,5.8
1338432,English Language,5.8
22751,Japanese Language,6.0
22751,Spanish Language,6.0
22751,Latin Language,6.0
22751,English Language,6.0
22751,German Language,6.0
1539559,English Language,7.0
277713,English Language,5.4
27763405,English Language,6.6
27063955,English Language,6.7
27063955,American English,6.7
27063955,English Language,8.0
27063955,American English,8.0
14421091,English Language,5.8
32234047,English Language,6.5
2847874,Japanese Language,6.8
6672250,English Language,6.2
21250249,English Language,5.7
24672079,English Language,4.6
13329416,English Language,6.0
11894802,English Language,4.5
27504596,Korean Language,6.5
441280,English Language,3.6
2501824,English Language,5.4
19388177,English Language,6.7
20040056,Hindi Language,7.4
20040056,Portuguese Language,7.4
20040056,Marathi Language,7.4
20040056,English Language,7.4
20040056,Bengali Language,7.4
2279610,English Language,7.3
6571638,English Language,5.6
1164551,English Language,6.4
10466696,French Language,7.1
10466696,Arabic Language,7.1
70428,Irish,7.7
70428,English Language,7.7
570240,Japanese Language,3.9
570240,English Language,3.9
11351598,English Language,6.9
23563063,German Language,6.9
5620636,English Language,6.9
5778040,Hindi Language,6.7
5778040,Urdu Language,6.7
12835046,English Language,6.2
26030961,English Language,5.8
2448736,English Language,6.3
2448736,Spanish Language,6.3
1608019,English Language,7.4
8291759,English Language,5.8
8291759,Spanish Language,5.8
25830355,English Language,6.2
19968061,English Language,6.3
22278175,English Language,6.0
23982633,English Language,7.2
734419,English Language,6.4
9169267,Hindi Language,7.3
9169267,Punjabi language,7.3
9169267,English Language,7.3
9169267,Bengali Language,7.3
6781858,English Language,5.4
16395026,English Language,5.6
15016005,English Language,6.0
2154180,English Language,6.7
31614378,English Language,6.7
1688821,English Language,6.8
23091399,German Language,7.2
6499613,English Language,5.2
25485450,English Language,6.3
20402406,English Language,5.4
3865259,Chinese language,6.0
3865259,Tamil Language,6.0
3865259,Malay Language,6.0
3865259,English Language,6.0
3865259,Hokkien,6.0
28722503,English Language,5.9
3343617,French Language,7.6
3343617,English Language,7.6
163500,Italian Language,8.1
30665531,Russian Language,7.4
76399,English Language,7.9
1862671,English Language,7.5
1862671,French Language,7.5
1862671,Cantonese,7.5
1862671,Standard Mandarin,7.5
1862671,Vietnamese Language,7.5
1862671,Standard Cantonese,7.5
4940876,English Language,6.3
11604278,English Language,6.0
19920525,English Language,5.9
22558707,English Language,5.1
19366458,English Language,6.7
5824039,French Language,5.5
1749093,English Language,7.3
29373289,English Language,7.1
2779486,English Language,7.1
2117473,English Language,4.2
27451281,English Language,4.4
31323950,German Language,7.1
20479465,Hindi Language,7.7
12267883,English Language,6.7
30864957,English Language,5.8
6394592,English Language,6.6
29501024,English Language,6.1
27954029,English Language,4.9
2045991,English Language,6.8
9068424,English Language,5.9
3654603,Japanese Language,7.5
4851596,Tamil Language,4.2
28873034,English Language,6.1
20286230,Japanese Language,7.3
24522784,Telugu language,7.4
1638112,English Language,8.1
3382856,English Language,6.9
28581444,Dutch Language,5.6
